No,job no,spare parts,Ex.cost,Labor,Total
41,520,,8900,,8900
42,522,40195.99,28710,1600,70505.98999999999
43,523,9000,,1600,10600
44,524,9500,,,9500
45,526,4308.5,,3600,7908.5
46,528,42466.07,34896.8,11100,88462.87
47,531,72.5,,2700,2772.5
48,532,67532.81,,16300,83832.81
49,535,,,800,800
50,536,2512.5,,1600,4112.5
51,537,10700,,3200,13900
52,538,44100,,5000,49100
53,541,55970,,11100,67070
54,542,26489,,1500,27989
55,543,30000,,,30000
56,544,12900,69183.4,,82083.4
57,545,80000,,,80000
58,546,46204.84,,1000,47204.84
59,547,14020,,,14020
60,548,,,1600,1600
61,550,45058.57,,2050,47108.57
62,555,,,3200,3200
63,556,,,3200,3200
64,557,28000,,,28000
65,558,28250,,,28250
66,559,13200,,,13200
67,560,,14962.13,,14962.13
,,4154009.499999999,958466.05,349125,5461600.549999999
1,828,42266.1,,20250,62516.1
2,939,1500,,3800,5300
3,984,29706.51,2000,12100,43806.509999999995
4,166-1,,30492,,30492
5,324,102501.71,7000,17000,126501.71
6,432,72,,4700,4772
7,433,139793,14000,9400,163193
8,474,33959.84,,6400,40359.84
9,475,135233.81,,16000,151233.81
10,477,24498.64,,4800,29298.64
11,487,126763.14,,6000,132763.14
12,503,82401.75,3923.5,8000,94325.25
13,530,129786.47,153000,11300,294086.47
14,533,35203.3,,6700,41903.3
15,539,100242,,15000,115242
16,549,8465,,2000,10465
17,551,26735.71,,8300,35035.71
18,552,59785,,14500,74285
19,553,15709.18,,6400,22109.18
20,554,76823.57,,14100,90923.57
21,561,109387.28,,3800,113187.28
22,562,,2000,,2000
23,564,56767.96,,3900,60667.96
24,566,8500,,1500,10000
25,567,15000,30000,,45000
26,565,14120,,2700,16820
27,568,,,3400,3400
28,569,168900,35000,,203900
29,571,8207,,1800,10007
30,572,92001.28,,1925,93926.28
31,573,36950,,1600,38550
32,575,59077,,8700,67777
33,577,21000,,9500,30500
34,578,14606,,6000,20606
35,580,14509,,3950,18459
36,581,6028.57,,1200,7228.57
37,582,80293.8,,8350,88643.8
38,583,19930,7300,3200,30430
39,584,117133.29,,12200,129333.29
40,585,9132.5,,2400,11532.5
41,586,,,2000,2000
42,587,31036,,6200,37236
43,588,8988.5,,,8988.5
44,589,8988.5,,,8988.5
45,590,,,1600,1600
46,591,5500,,,5500
47,592,4300,,,4300
48,593,185083,6500,5450,197033
