Job no,Ref.,Vehicle,Repair Description,Start,End,Hrs,Cost,Site,Remarks
2023/11/R/622,23-622,LN-8278,Replaced rear all brake liner & hub seal,2023-11-30,2023-12-03,35,,Badalgama,
2023/12/R/662,23-662,325-5120,Starter motor repair-Ex kamal katana,2023-12-14,2023-12-18,,,Badalgama,
2023/12/R/652,23-652,LN-8278,spring blade form work,2023-12-11,2023-12-20,,,Badalgama,845078Km
2023/11/R/612,23-612,LB-4824,"Clutch repair,signal light repair",2023-11-27,2023-12-02,3,,Katana,MNW
2024/1/R/020,24-20,LL-0936,Replaced LH side mirror,2024-01-08,2024-01-11,,,kadawatha,MNW
2024/1/R/014,24-14,LI-2427,"Replaced tipping jack seal kit, adjusted door pins",2024-01-06,2024-01-11,18,,cep-03,MNW
2024/1/R/018,24-18,LJ-5203,"Collect emission test, checked fuel consumption -ok, replaced tail light lences.",2024-01-08,2024-01-14,5,,cep-03,7042Km
2024/1/R/013,24-13,LH-5475,"checked battery charging, replaced air filter, starter motr repair, fixed tail light assy. LH RH",2024-01-06,2024-01-14,10,,Badalgama,
2024/1/R/010,24-10,LX-1679,Replaced ramp motor brush & springs,2024-01-04,2024-01-22,8,,Badalgama,
2024/1/R/006,24-6,LP-1571,"Reverse horn, fog light",2024-01-02,2024-01-22,4,,Badalgama,
2023/12/R/677,23-677,LBS-01,"Service, wash & grease, trans. Oil change, check hy.",2023-12-19,2024-01-16,12,,solution,ZB-1521 2698Hr
2024/1/R/007,24-7,VR-68,"Replaced air filter, wash & grease, ",2024-01-04,2024-01-04,6,,Gampaha bridge,976Hr
2023/12/R/700,23-700,LN-1867,alternator repair(battery not charging),2023-12-30,2024-01-03,4,,Badalgama,
2024/1/R/041,24-41,41-1130,Checked E/oil & no need to change immediately,2024-01-14,2024-01-15,1,,wadakada,525194Km
2024/1/R/052,24-52,LB-24,Repaired accelearator cable,2024-01-22,2024-01-22,4,,Trinco,
2024/1/R/039,24-39,LK-5041,S/motor repair(replaced another motor temperily),2024-01-14,2024-01-17,4,,Badalgama,
2024/1/R/054,24-54,PH-0765,F/RH lower arm ball joint replaced.(spare supplied from site,2024-01-22,2024-01-22,4,,Katana,
2024/1/R/037,24-37,SR-08,Exhaust manifold repair,2024-01-14,2024-01-20,15,,wadakada,
2024/1/R/031,24-31,VR-063,"Starter key cutting, operating seal repair, replaced battery, replaced hy. drain plug",2024-01-13,2024-01-16,4,,wadakada,
2024/1/R/035,24-35,LD-06,S/motor repair,2024-01-15,2024-01-16,6,,Muthur,
2024/1/R/027,24-27,LO-4822,Replaced brake rachets Rear 2nos,2024-01-12,2024-01-13,8,,Thebuwana,
2024/1/R/029,24-29,LP-1715,Brake hose,2024-01-12,2024-01-12,2,,Thebuwana,
2023/12/R/691,23-691,59-5421,"Radiator clean & repair, replaced fan blade, door winder, reverse plug, check lights",2023-12-27,2024-01-05,10,,wadakada,
2023/12/R/687,23-687,HEX-21,"Track link pin repair, boom jack seal kit replaced, check fan belt, light, horn",2024-12-24,2024-01-07,18,,Erawur,19816Hr
2023/12/R/699,23-699,LB-4824,"Replaced gear box coupling, U-joint with bolt, cap, service",2023-12-30,2024-01-05,10,,Katana,181722Km
2023/12/R/680,23-680,LM-6653,"Service, Replaced Speed meter sensor, spring bushes, Rear middle RH hub seal, elec. Repair(replaced deck light, tail light), ramp pin making",2023-12-20,2024-01-11,22,,Erawur,
2024/1/R/011,24-11,SL-09,"Removed water in fuel tank, wash & grease, service, replaced bucket bushes 40*45*45mm pin filling, turning out, replaced 2 hy hoses, LH bucket  jack seal kit 723-6275",2024-01-04,2024-01-11,54,,Thalawa,5107Hr
2023/11/R/591,23-591,MG-11,Roof tent repair,2023-11-17,2024-01-02,5,,wadakada,
2023/11/R/599,23-599,LP-1582,"Water mixed with diesel, abnormal sound in engine, replaced fuel filters, 6 injectors by Dimo, tail light assy. LH & RH, side mirror LH & RH, LH square mirror, fog lamp 24V",2023-11-23,2024-01-11,15,,Kallanchiya,41155Km
2024/2/R/115,24-115,LN-8277,Alternator repair,2024-02-16,2024-02-17,,,cep-03,
2024/2/R/116,24-116,PC-01,Hy. cooling fan repair-Ex,2024-02-16,2024-02-17,,,cep-03,ex
2024/2/R/110,24-110,BGY-6446,"Running repair(wash & clean bike, carb cleaning, side mirror, adjusted drive chain, check air pressure in tyres)",2024-02-15,2024-02-16,8,,cep-03,242331Km
2024/1/R/073,24-73,ZA-7965,"replaced outtriger jack seal, AC pump",2024-01-31,2024-02-02,16,,Katana,
2024/7/R/468,24-468,Heat Burner,cleaning & testing heat burner,2024-07-11,2024-07-25,10,,Badalgama,
2023/12/R/700,23-700,LN-1867,"Alternator repair(replaced bearing 2 , brush set, oil seal)",2023-12-30,2024-01-03,4,,Badalgama,
2024/1/R/007,24-7,VR-68,"Replaced air filter, wash & grease, hy.hose",2024-01-04,2024-01-04,6,,Gampaha bridge,976Hr
2023/12/R/677,23-677,LBS-01,"Service, wash & grease, change Trans. Oil,  check hy. level",2023-12-19,2024-01-16,12,,solution,2698Hr
2024/7/R/468,24-468,Heat Burner,cleaning & testing heat burner,2024-07-11,2024-07-25,10,,Badalgama,
2024/11/R/833,24-833,LM-7942,"Replaced fan belt, alternator bearing",2024-11-07,2024-11-08,10,,Neluwa,
2024/11/R/829,24-829,VR-40,"Battery chrging, check machine working condition",2024-11-05,2024-11-06,3,,Biyagama,
2024/11/R/834,24-834,Elec. Hoist,"Fixed new single phase motor with overload switch, supplied electrical wire 100m",2024-11-07,2024-11-09,20,,Neluwa-solution,
2024/11/R/832,24-832,LO-7855,check & adjusted brakes,2024-11-06,2024-11-06,2,,solution,
2024/11/R/826,24-826,ZA-6068,"Replaced steering jack seal kit, rack end 2, tie rod end 2",2024-11-04,2024-11-06,20,,cep-03,
2024/10/R/813,24-813,LL-1782,"Clutch repair(replaced clutch bearing, pilot bearing, clutch plate Re-lining(plate liner thickness 5mm one side), clutch R/kit low top up gear oil), repaired door hingers RH, wash & grease, elec. Repair(deck light 8 nos,check battery charging)",2024-10-30,2024-11-08,76,,Badalgama,
2024/10/R/790,24-790,325-5120,"Starter motor repair-Ex kamal katana, replaced hub seal 2, injector pump -recondition, injector nozel 4nos, recondition injector pump serviced by Granville diesel centre",2024-10-22,2024-11-07,56,,Badalgama,
2024/10/R/752,24-752,LK-4058,tipper deck door repair,2024-10-10,2024-10-30,52,,cep-03,
2024/10/R/847,24-847,MG-05,Propellarshft coupling repaired-lathe work,2024-11-10,2024-11-11,8,,cep-03,
2024/11/R/846,24-846,LM-5723,"replaced PTO lever-new, brake booster R/kit",2024-11-10,2024-11-11,,,cep-03,
2024/11/R/845,24-845,LH-5586,"repaired door winder & door lock, horn, p/s oil leak, s/motor,roof,wash & greased",2024-11-09,2024-11-18,37,,cep-03,351443Km
2024/9/R/703,24-703,LI-3851,"Tipper deck repair, greased F/axel braing, replaced F LH brake liners, Rear LH RH hub seal, hub bolt 2, sump oil drain nut repaired, service, wash & grease",2024-09-30,2024-11-12,62,,Muthur,
2024/10/R/809,24-809,Wacker,"Replaced wacker boot, check working condition",2024-10-30,2024-11-08,8,,Ruwanwella,
2024/10/R/807,24-807,MG-07,"transmission Repair(trans. Plate 20, 03, 04, bearing 3, oil seal 2 , O-ring 4, clutch plate ,trans. filter )Radiator cleaning, elec. Repaire(lights), top up trans. Oil SAE 30, tandem oil 10W",2024-10-29,2024-11-16,144,,cep-03,10021Hr
2024/9/R/628,24-628,MG-04,Hy.pump repair-warranty repair by C-COM,2024-09-04,2024-11-12,,,cep-03,
2024/11/R/853,24-853,DAH-2231,Fuel system repair(low pressure pump solenoid valve block repair),2024-11-16,2024-11-17,10,,cep-03,216480Km
2024/11/R/844,24-844,LN-1867,"Replaced head gasket(Fuji), fan clutch gel, Starter motor repair(replaced bearing)",2024-11-09,2024-11-10,42,,Badalgama,
2024/11/R/843,24-843,28-4314,"E/overheating, replace gasket, tappet cover packing, radiator cleaning",2024-11-11,2024-11-16,32,,Badalgama,
2024/9/R/683,24-683,LI-3395,"Deck repair, replaced starter relay, tyre change R RH two wheel, starter motor repair(replaced solenoid), F/RH door post tinkering & painting, replaced tipping jack seal , hy. pump oil leak repair, replaced F all brake liners & axel outer bearings, wash & grease, replaced gear lever ball joint S-3, L-1, gear link bush set, tail light set LH RH",2024-09-16,2024-11-06,137,,Muthur,
2024/11/R/840,24-840,HEX-22,"Replaced hy. pump coupling, oil seal, o-ring, top up hy. oil ",2024-11-07,2024-11-10,34,,Erawur,
2024/11/R/839,24-839,LC-0434,replaced starter relay,2024-11-07,2024-11-07,3,,Badalgama,
2024/11/R/837,24-837,LJ-5203,starter motor repair(replaced carbon brush set),2024-11-07,2024-11-07,,,cep-03,SSO
2024/11/R/841,24-841,HEX-21,Hy. leak repair.,2024-11-07,2024-11-07,16,,Erawur,
2024/11/R/836,24-836,LM-7940,"Clutch repair(replaced clutch liner set, pilot bearing, clutch bearing, top shaft)",2024-11-07,2024-11-09,,,cep-03,SSO
2024/11/R/827,24-827,SL-06,Hy.leak repair,2024-11-04,2024-11-05,10,,Ududumbara,
2024/11/R/831,24-831,LK-4061,"Rear spring blade repair(increase one blade for one set of blades), wash & grease",2024-11-06,2024-11-06,3,,cep-03,
2024/11/R/835,24-835,CR-02,Replaced brake booster pump & air dryer assy. New,2024-11-07,2024-11-09,,,cep-03,SSO
2024/8/R/518,24-518,ZA-2608,"repaired accelerator cable, replaced stabilizer jack seal kit, bucket tilt seal kit, backhoe bucket seal kit, backhoe boom seal kit, oil level stick, vaccum pump, spool vale o-rings, fan belt, cabin jack, hy. hose 6, hy. clamp seal 2, spool valve solenoid 4, extra dig pad set, oil plug, wiper blade set, cabin door jack, rear glass jack, trans. filter, hy. filter, battery, wash & grease",2024-08-01,2024-11-06,112,,Doramadalawa,
2024/3/R/174,24-174,LX-1679,wire harness repair,2024-03-08,2024-03-08,6,,Badalgama,
2024/2/R/105,24-105,Concrete mixer,Running repair,2024-02-15,2024-02-16,6,,kilinochchi,
2024/2/R/107,24-107,RS-0483,Replaced backhoe clamp seal kit,2024-02-15,2024-02-15,15,,Katana,
2024/1/R/5,24-5,BGY-6440,"service, oil leak repair",2024-01-02,2024-01-03,4,,Badalgama,
2024/1/R/3,24-3,LI-3396,"Clutch repair(replaced clutch liner set, pressure plate spring with fingers, pressure plate & flywheel facing)",2024-01-03,2024-01-07,10,,wadakada,
2024/1/R/8,24-8,325-5120,Replaced clutch R/kit Low,2024-01-04,2024-01-04,3,,Badalgama,
2023/11/R/621,23-621,41-1130,"Replaced gear box -Recondition, repaired door winder, door hinger repair, wash & grease, fixed hr meter, replaced tail light lences, center bearing winder motor 2, service",2023-12-07,2024-01-04,116,,cep-03,0Hr
2024/1/R/24,24-24,LN-1867,"starter motor wire harness repair, fixed radiator hose, replaced battery terminals, gear lever lubricated, replaced h/light bulb, ",2024-01-17,2024-01-18,22,,kilinochchi,281412km
2024/1/R/23,24-23,LO-7855,Electrical repair(fog light),2024-01-11,2024-01-11,4,,solution,266404km
2024/1/R/21,24-21,MG-11,"servcie , wash & grease, Elec. Repair(horn, light, charging,etc), operating seat repair, side mirror, change rear 4 tyres",2024-01-11,2024-01-16,16,,cep-03,7839Hr
2024/1/R/69,24-69,PTR-01,"Replaced brake master pump R/kit, 120A batteries2 , wash & grease, check all oil levels",2024-01-31,2024-03-09,44,,cep-03,
2024/2/R/129,24-129,LD-09,Repaired auto greasing valve,2024-02-24,2024-03-08,11,,cep-03,
2024/3/R/165,24-165,PC-02,F/spring blade repair(replaced 3 nos spring blades),2024-03-07,2024-03-10,120,,Moragahakanda,
2024/3/R/171,24-171,LK-2366,"Replaced P/s oil tank, top up P/S oil",2024-03-08,2024-03-08,3,,kadawatha,
2024/3/R/178,24-178,HEX-23,"Starter motor repair(repaired field coil & armature, replaced brush set)",2024-03-09,2024-03-11,4,,cep-03,
2024/3/R/183,24-183,LP-1713,"service, replaced tail light assy.",2024-03-11,2024-03-11,14,,Badalgama,
2024/3/R/158,24-158,RC-9894,"wash & grease, replaced fuel filters, Rear rim repair, check battery charging, changed gear box oil, replaced air filter pre-cleaner",2024-03-06,2024-03-07,24,,chilaw,
2024/3/R/159,24-159,1t roller,"check wire harness(vibrator solenoid coil, fixed rectifier), removed water on piston of the engine, changed E/oil check starting, hy. level, vibration, changed fuel filter",2024-03-06,2024-03-07,20,,chilaw,
2024/3/R/160,24-160,"2"" water pump","Spark plug cleaning, service carburator, check E/oil",2024-03-06,2024-03-07,4,,chilaw,
2024/3/R/162,24-162,VR-62,"wash & grease, check all oil level",2024-03-06,2024-03-06,4,,Katana,1007Hr
2024/3/R/163,24-163,PT-1569,"Tightened steering wheel nut, check lights(tail, signal ,head light),check clutch system",2024-03-06,2024-03-06,8,,Badalgama,
2024/3/R/164,24-164,PR-1504,"starter motor repair, wash & grease",2024-03-06,2024-03-06,8,,Katana,
2024/3/R/169,24-169,FL-03,replaced starter motor brush set,2024-03-08,2024-03-08,3,,Badalgama,
2024/3/R/170,24-170,ZA-6255,Fuel system repair(FC-1001),2024-03-08,2024-03-08,2,,Badalgama,
2024/3/R/172,24-172,RC-9894,Fuel sys. Repair(F-4000400 & 500),2024-03-08,2024-03-08,4,,Badalgama,
2024/3/R/173,24-173,DAH-2230,Fuel sys. Repair(injector repair),2024-03-08,2024-03-08,16,,Katana,
2024/10/R/779,24-779,LO-7180,"Clutch repair(Clutch plate Re-lining, replaced clutch bearing with hub,withdrawal plate, top shaft bearing, p/plate finger R/kit, facing p/plate & flywheel )",2024-10-18,2024-11-06,22,,cep-03,
2024/10/R/796,24-796,43-1191,"Replaced center bearing with bracket(recondition), replaced air hose with union, brake chamber R/kit, wiper blade, wiper armwash & grease, repaired lights",2024-10-23,2024-11-06,58,,Badalgama,
2024/10/R/805,24-805,PY-2408,"Replaced water pump assy. New, fan blet",2024-10-28,2024-11-01,22,,Neluwa,
2024/11/R/824,24-824,LB-4824,Check elec. Sys. Check 7 lubricate accelerator cable,2024-11-02,2024-11-05,7,,Katana,
2024/10/R/780,24-780,LB-9496,"Replaced radiator core, signal flasher",2024-10-18,2024-11-02,22,,kilinochchi,
2024/10/R/814,24-814,CR-01,silensor repair,2024-10-30,2024-11-01,14,,cep-03,
2024/10/R/815,24-815,LO-5983,"Clutch repair(Replaced C/plate, c/bearing, p/plate finger springs, pilot bearing), brake rachet 2 ",2024-10-30,2024-10-31,4,,cep-03,SSO
2024/10/R/816,24-816,LM-7948,Replaced radiator tank,2024-10-30,2024-11-02,,,cep-03,SSO
2024/10/R/817,24-817,LH-5586,starter motor repair,2024-10-30,2024-11-01,4,,cep-03,
2024/10/R/818,24-818,ZA-8337,Starter motor repair(replaced brush with holder),2024-10-30,2024-11-01,6,,cep-03,
2024/11/R/821,24-821,SL-05,"Elec. Repair(check & repair parking solenoid wire harness),drive belt",2024-10-31,2024-10-31,6,,Ja-Ela,
2024/2/R/101,24-101,PT-1569,"Steering sys. Repair(ball joint,idle arm, bushing)",2024-02-10,2024-02-13,12,,Badalgama,
2024/2/R/119,24-119,LN-8279,Air brake sys. Repair(rear brake check valve cleaning & o-ring replacing),2024-02-18,2024-02-19,15,,Badalgama,
2024/2/R/114,24-114,325-5120,"Accelerator cable repair, wash & grease, wire harness repair, F/hub seal replace",2024-02-16,2024-02-19,12,,Badalgama,
2024/1/R/53,24-53,PD-4739,"Service, cut & polish head light glass",2024-01-22,2024-02-09,4,,Badalgama,
2024/2/R/117,24-117,AC-07,"adjusted air pressure, tensioned non return valve spring",2024-02-19,2024-02-19,4,,Badalgama,
2024/2/R/112,24-112,HEX-46,"boom jack pin welding & turning out, grease seal 8",2024-02-16,2024-02-17,25,,cep-03,
2023/12/R/657,23-657,ZA-2963,"check traveling, RHS door glass, extradig pads, stabilizer pads, oil leak repair from valvebox, replaced F/LH hub oil seal, gear lever bush set, injector pump service & repair",2023-12-12,2024-02-22,34,,Katana,3627Hr
2023/9/R/494,23-494,ZA-8337,"Replaced F/valve box, multi jack seal 2, extradig pads set, engine stop solenoid,gear lever bush set, grease gun hose , tie rod end 2, wash & grease, Elec. Repair(light, battery charging, wiper ,water temp. meter, etc) ",2023-09-27,2024-02-22,186,,Abanpola,10938Hr
2024/2/R/78,24-78,LO-4824,"Fuel sys .repair(injector service & repair  by AGM), injector pump repair, radiatoe fan clutch locked-ex, replaced fuel filters2, feed pump R/kit, clutch R/kit, feed pump",2024-02-05,2024-02-23,115,,Thebuwana,
2024/2/R/77,24-77,GL-0019,"Replaced U-joint, joint bolt, top up Gear oil  80W90, grease, sealed fuel return line",2024-02-05,2024-02-12,42,,Badalgama,
2024/1/R/38,24-38,ZB-1496,"replaced all brake rachets, replaced spring plate between axel & blade set, wash & grease, service, AC repair, (gas charging, check leaks), adblue tank elec. Supply repair",2024-01-14,2024-01-17,43,,Moragahakanda,3370Hr
2024/1/R/51,24-51,MG-14,"blade jack shaft repair, replaced seal kit",2024-01-22,2024-01-22,18,,Trinco,
2024/1/R/34,24-34,LD-02,"wire harness repair, starter motor repair(clutch)",2024-01-15,2024-01-20,12,,Muthur,
2024/2/R/106,24-106,Concrete mixer,"Running repair(concrete mixing pot welding, engine service, grease, check bearing, travelling wheel repair)",2024-02-15,2024-02-22,45,,kilinochchi,
2024/2/R/134,24-134,BGY-6447,"engine repair(Re-bore engine, piston with ring set, timing chain, chain gaurds, rubber roller, valve seal, clean carb. , change E/oil, bike cleaning",2024-02-24,2024-03-03,18,,Badalgama,89482Km
2024/3/R/143,24-143,SR-08,replaced oil plug,2024-03-01,2024-03-01,,,cep-03,
2024/3/R/144,24-144,PT-1569,"Disemble  & cleaned clutch pump, upholstery repair",2024-03-01,2024-03-04,4,,Badalgama,
2024/2/R/140,24-140,PH-0765,"replaced steering U-joint, checked suspension system, electric horn,gear lever bushes, replaced propellar shaft u-joint",,,,,,
2024/12/R/924,24-924,LD-05,"replaced steering jack seal LH,top up HD 68 5Ltrs",2024-12-08,2024-12-10,10,,Badalgama,
2024/10/R/751,24-751,BDJ-2375,"Engine repair(Re-boring engine, replaced timing chain, cam racer,vale in,ex, valve rubber, spark plug, tappet adjusting bolt, oil filter, plug top), clutch plate, pressure plate, horn, signal flasher, speed meter wheel , battery terminalE/oil, ",2024-10-10,2024-12-02,16,,Katana,
2024/12/R/907,24-907,LO-9810,"clean fuel tank, feed pump repair",2024-12-02,2024-12-03,12,,Badalgama,
2024/11/R/870,24-870,Crusher-cep03,32mm tor steel bended bar thread cutting 600mm,2024-11-19,2024-11-19,8,,cep-03,
2024/11/R/895,24-895,SR-12,Repaired hy. pump coupling,2024-11-26,2024-11-28,10,,cep-03,
2024/11/R/886,24-886,LP-1569,"Repaired 1st gear shifting defect, wash & grease, replaced tail light set 2, wiper blade set, ",2024-11-22,2024-11-23,13,,cep-03,
2024/11/R/850,24-850,LM-7942,"Repaired E/oil leak from injector pump, serviced injector pump, elec. Repair(h/light, horn,wiper , tail light), rear deck door  & bucket repair, wash & grease, repalced air filter, wiper bled side mirror LH",2024-11-12,2024-12-07,62,,Neluwa,23890Km
2024/12/R/915,24-915,BDJ-2375,"replaced rear hub bearing ,rubber mount",2024-12-05,2024-12-05,4,,Ruwanwella,
2024/12/R/909,24-909,"TRN-05,19","TRN-05 Replaced carb assy, rachet -used, air filter-new, reduced E/oil upto standard level, TRN-19 removed excess E/oil in the engine, cleaned carb. , machine testing ",2024-12-04,2024-12-05,8,,port city,
2024/12/R/922,24-922,LN-8278,Readiator water leak repair-ex,2024-12-07,2024-12-07,,,Badalgama,
2024/12/R/923,24-923,47-5112,"Repaired water leak,brake light repair",2024-12-07,2024-12-07,3,,Badalgama,
2024/2/R/123,24-123,HEX-29,"Replaced bucket & arm jack seals, bucket pin welding & lathening, bucket repair, spool seal replacing, replaced hy. pump coupling, service, wash & grease, top up oils, repaired safety lever switch, replaced battery 95A 2nos, issued grease gun 500g, arm end bushing, 24V fan, ",2024-02-20,2024-03-01,133,,cep-03,1417Hr
2024/12/R/933,24-933,SL-04,Replaced air filter,2024-12-11,2024-12-11,,,batticaloa,SSO
2024/12/R/934,24-934,SL-18,Repaired accelearator cable,2024-12-11,2024-12-11,,,cep-03,SSO
2024/12/R/936,24-936,MGS-01,Starter motor repair,2024-12-11,2024-12-15,,,cep-03,Ex
2024/12/R/937,24-937,LI-7618,"Clutch repair(top shaft welding-filling & turning out, replaced clutch liner set, clutch bearing)",2024-12-11,2024-12-12,,,cep-03,
2024/12/R/941,24-941,PT-1569,Clutch repair(replaced clutch plate),2024-12-11,2024-12-12,,,cep-03,SSO
2024/12/R/942,24-942,LA-1359,Replaced engine stop booster,2024-12-11,2024-12-14,,,cep-03,SSO
2024/12/R/943,24-943,ZB-1521,"Replaced f/pinion seal, u-joint 4X4 drive shaft, service",2024-12-11,2024-12-11,,,Mathale,Solution
2024/12/R/944,24-944,HEX-05,Replaced hy.hose,2024-12-11,2024-12-11,20,,Mathale,
2024/12/R/945,24-945,LK-2366,Air brake system repair(replaced air dryer R/kit),2024-12-13,2024-12-13,18,,Ruwanwella,
2024/12/R/946,24-946,HEX-28,"Replaced hy. hose, Elec .repair, removed broken bolts of exhaust manifold and replace bolts, hy. cylinder broken bolt remove & replace",2024-12-12,2024-12-13,24,,Ruwanwella,
2024/12/R/950,24-950,LB-4824,"Elec. Repair(starting defect), top up E/oil, P/S oil , Brake oil",2024-12-12,2024-12-12,4,,Badalgama,
2024/12/R/952,24-952,HEX-39,"Replaced parking switch, elec. Repair(short cct of wire harness)",2024-12-13,2024-12-13,6,,Ruwanwella,
2024/12/R/953,24-953,MG-17,"Change E/oil with filter, greasing, guide rail -used,made battery guard",2024-12-14,2024-12-14,18,,Badalgama,
2024/12/R/921,24-921,LK-5041,Alternator repair(replaced brush with regulator),2024-12-10,2024-12-11,8,,Badalgama,
2023/7/R/277,23-277,DAH-2231,"Replaced gasket, valve oil seal, air filter, clutch master pump, fuel filter, bumper mount, brake caliper R/kit 2, brake pad set, belt 2, balance bar bush 4, link end bar with bush",2023-07-20,2023-10-31,,,Muthur,autobacs
2024/2/R/139,24-139,LN-8279,"replaced brake chamber diaphram R/kit 2, elec .repair lights",2024-02-26,2024-02-27,5,,Badalgama,
2024/2/R/132,24-132,LP-1566,"Replaced tail lamp lences,check horn",2024-02-24,2024-02-24,2,,Thebuwana,78817Km
2024/2/R/135,24-135,PT-1569,"LH tail light repair, steering box oil top up",2024-02-26,2024-02-26,3,,Badalgama,287479Km
2024/2/R/138,24-138,LH-5586,Starter motor repair(replaced starter motor solenoid with brush set,2024-02-26,2024-02-27,5,,cep-03,
2024/11/R/899,24-899,TM-20,"replaced bucket tilt jack seal 2, lift cylinder seal kit 2, service, wash & grease, replaced windscreen - used done by c-com, ele. Repair(check lights, replaced fog lamp 2, push button switch, fuses,halogen bulb, travelling lever repaired), issued grease gun 500g, wiper blades,  top up hy/ oil HD-46",2024-11-29,2024-12-13,68,,Kilinochchi,4910HR
2024/11/R/906,24-906,LX-1679,"Replaced Ramp jack seal 2, ramp motor with hy. pump -recondition, ramp cylinder mounting shafts repaired by fabrication, elec. Repair(lights)",2024-11-30,2024-12-03,98,,Badalgama,
2024/11/R/903,24-903,41-7225,Feed pump repaired & gear cable lubricated,2024-11-30,2024-12-03,6,,Solution,
2024/11/R/887,24-887,40-2955,Engine starting defect(battery charging),2024-11-23,2024-11-23,3,,Badalgama,
2024/12/R/910,24-910,LY-1614,"Changed driving seat from 48-4849, upholstery repair-Ex",2024-12-04,2024-12-07,,,Badalgama,
2024/12/R/938,24-938,PD-7049,"Brake repair(Replaced brake shoe 4,brake washer 8, dust boot, ), replaced cv boot with cv grease, rack end, horn set, f/shockabsorber bush, shock absorber repair 2nos, change gear oil, wash & grease",2024-12-11,2024-12-17,54,,Solution,Erawur
2024/11/R/842,24-842,LI-3402,"Replaced accelerator cable, check clutch ,brake liners,F-axel bearing LH RH, driving seat cushion work, starter motor repair, deck repair",2024-11-07,2024-12-18,71,,Muthur,
2024/11/R/885,24-885,28-4314,Elec reapir(re-wiring the electrical circuit-damaged only) couldn't  claim insurance,2024-11-22,2024-12-14,20,,Badalgama,
2024/11/R/904,24-904,LO-5984,Starter motor repair(replaced field coil )-ex Kamal katana,2024-11-30,2024-12-14,,,cep-03,
2024/12/R/918,24-918,ASC-21,"Engine overhaul (Replaced piston rings, gasket, re-sleeving engine block), spark plug",2024-12-05,2024-12-20,22,,Ruwanwella,
2024/12/R/935,24-935,water pump,"Replaced water seal, bearing 2, impeler repair",2024-12-11,2024-12-18,16,,cep-03,
2024/12/R/949,24-949,PH-0765,"Repaired R- signal lights, park light, upper arm ball joint, checked lower arm ball joint with suspension system, check hub bearing & brake pads, ",2024-12-11,2024-12-16,36,,Ruwanwella,
2024/12/R/951,24-951,PY-2408,"Repaired door hingers LH & RH, elec .repair(tail light, signal)",2024-12-12,2024-12-20,19,,Ruwanwella,
2024/12/R/954,24-954,57-3062,injector pump solenoid wire amage repaired ,2024-12-14,2024-12-17,2,,Badalgama,217610Km
2024/12/R/955,24-955,PA-6399,"Replaced rear all brake liners, wiper blades, wiper arm, wiper spindle, R/ deck door repair, disemble & clean head light RH",2024-12-15,2024-12-18,22,,Badalgama,
2024/11/R/849,24-849,HEX-26,"supply 500g grease gun, replaced  arm & boom jack seal , ac blower, hy. hose, stop solenoid, side glass, governor motor, track adjuster spring, track adjuster bolt outer thread & hub inner thread cutting, change hy. oil with all hy. filters(SFF-6141, JS-4049), track adjuster guide repair(welding & grinding), Bucket repair, arm end bush replace,sid e mirror, cabin light, AC belt 6460",2024-11-12,2024-12-08,198,,Kilinochchi,9066Hr
2024/9/R/646,24-646,HS-1773,"Tinkering & painting-Autobacs, Deck repair & painting, injector pump repair, replaced disel pipe, R-crank oil seal, R-tipping deck shaft, side mirror, crank oil seal housing, wiper arm groove,injector pump housing, Elec. Repair(H-light, signal ,battery charging checking) ",2024-09-05,2024-12-10,85,,Badalgama,
2024/10/R/761,24-761,RS-0483,"Service, loader lift & backhoe arm jack seal, H-bushes , loader arm bushes 44*52*20mm 24nos, gear lever ball joint, planetary wheel bearing, side mirror, fuel feed pump, fan belt 6490, solenoid 4WD,  u-joint with F/ propellar shaft assy, loader arm support lever line boring, R/ RH hub bearing with seal, loader lift arm pin & hole repair, alternator bearing, wash & grease, bucket repair, Elec. repair",2024-10-14,2024-12-03,163,,Siyabalanduwa,2246Hr
2024/10/R/764,24-764,LY-1614,Tinkering & painting-Autobacs,2024-10-15,2024-12-04,,,Badalgama,
2024/11/R/857,24-857,ZA-2963,"E/oil leak repaired from tappet cover, Backhoe pin bush repair 45*55*60-2 , 45*55*50 - 4, gear lever bush set, crank oil seal - F, air filter, fuel filter, filter head, cut & clean silensor, adjusted tappets, replaced tie rod end with rack ends 2 , outtriger shoe repair, wash & grease, check all oil levels",2024-11-17,2024-12-12,127,,Thissamaharama,
2024/11/R/864-1,24-864-1,51-8083,"Gear box repair( needle bearing, brass corn, bearin 4, 4/5 spring with dog teeth 3 , 1/R spring with dog teeth, slector fork lock ball pin, selector fork spring, selector ball 6, 4WD oil seal, top shaft seal, clutch release bearing, ), clutch plate, clutch slave cylinder, cmc R/kit, brake hose, caliper pin replace",2024-11-18,2024-12-06,61,,Kallanchi,
2024/11/R/896,24-896,CR-02,Swival repair-done by CEP-03 repair team with operator Harischandra & Darshana,2024-11-29,2024-12-06,,,cep-03,9264Hr
2024/11/R/897,24-897,HEX-05,"service, repaired accelerator cable, replaced track bottom rollers 6, roller bolts, check travelling defect, fog light set, travelling hy. hose, wash & grease",2024-11-28,2024-12-06,81,,Raththota,9270Hr
