id,issueDate,issueDateISO,vehicleMachinery,itemName,itemDesc,qty,category,issuedTo,issuedBy,mrnNum,purchaseSource,notes,createdAt,updatedAt
68,2026-06-05,2026-06-05,HEX-33,Pork Light (24V),,2.0,General Items,Ruwan,Priyankara,166982,,,2026-06-06T05:35:11.067Z,2026-06-06T05:35:11.067Z
69,2026-06-05,2026-06-05,LI-1782,LED fog light,,2.0,Electrical,Lakmal,Priyankara,166893,,,2026-06-06T05:37:07.400Z,2026-06-06T05:37:07.400Z
70,2026-06-05,2026-06-05,LL-1782,Break Foot Valve R/kit,,1.0,General Items,Ruwan,Priyankara,166981,,,2026-06-06T05:37:54.609Z,2026-06-06T05:37:54.609Z
71,2026-06-05,2026-06-05,LL-1782,Fan Belt (8520),,2.0,Belts,Ruwan,Priyankara,166981,,,2026-06-06T05:38:17.534Z,2026-06-06T05:38:17.534Z
72,2026-06-05,2026-06-05,LL-1782,AC Belt (8510),,1.0,Belts,Ruwan,Priyankara,166981,,,2026-06-06T05:38:41.382Z,2026-06-06T05:38:41.382Z
73,2026-05-29,2026-05-29,41-7225,Diaphram (Injector Pump),,1.0,General Items,Anura,Bandula,167199,,,2026-06-06T05:44:30.740Z,2026-06-06T05:44:30.740Z
74,2026-05-28,2026-05-28,CR-02,Bearing,,4.0,Bearings & Seals,Ruwan,Priyankara,167173,,,2026-06-06T05:45:55.243Z,2026-06-06T05:45:55.243Z
75,2026-05-28,2026-05-28,CR-02,Engine Mount,,8.0,General Items,Ruwan,Priyankara,167173,,,2026-06-06T05:46:29.425Z,2026-06-06T05:46:29.425Z
76,2026-05-28,2026-05-28,CR-02,Hub Oil Seal,,4.0,Bearings & Seals,Ruwan,Priyankara,167173,,,2026-06-06T05:47:07.307Z,2026-06-06T05:51:12.079Z
77,2026-05-28,2026-05-28,CR-02,Oil Seal Large,,4.0,Bearings & Seals,Ruwan,Priyankara,167173,,,2026-06-06T05:51:43.363Z,2026-06-06T05:51:43.363Z
78,2026-05-28,2026-05-28,CR-02,Oil Seal (small),,4.0,Bearings & Seals,Ruwan,Priyankara,167173,,,2026-06-06T05:52:14.000Z,2026-06-06T05:52:14.000Z
79,2026-05-28,2026-05-28,CR-02,Oring,,7.0,Bearings & Seals,Ruwan,Priyankara,167173,,,2026-06-06T05:53:01.908Z,2026-06-06T05:53:01.908Z
80,2026-05-28,2026-05-28,41-7225,Hose (Ft),,3.0,Hydraulics,Anura,Priyankara,167199,,,2026-06-06T05:54:03.526Z,2026-06-06T05:54:03.526Z
81,2026-05-28,2026-05-28,Hydrolic Hose Room,Anchor Bolt 3/8,,7.0,General Items,Seetha,Bandula,167198,,,2026-06-06T05:57:58.216Z,2026-06-06T05:57:58.216Z
82,2026-05-28,2026-05-28,Hydrolic Hose Room,2 Iron Hingers,,2.0,General Items,Seetha,Bandula,167198,,,2026-06-06T05:59:51.597Z,2026-06-06T05:59:51.597Z
83,2026-05-28,2026-05-28,HEX-33,Mack Foil For AC Repair (Ft),,3.0,General Items,NIshantha,Priyankara,166952,,,2026-06-06T06:00:28.915Z,2026-06-06T06:00:28.915Z
98,2026-06-08,2026-06-08,PA-4193,Stablizer Link,,2.0,General Items,Ruwan,Priyankara,166968,,,2026-06-08T09:19:20.236Z,2026-06-08T09:19:20.236Z
99,2026-06-08,2026-06-08,PA-4193,Bush,,4.0,Bearings & Seals,Ruwan,Priyankara,166968,,,2026-06-08T09:20:06.607Z,2026-06-08T09:20:06.607Z
100,2026-06-08,2026-06-08,PV-6889,Ball Joint,,1.0,General Items,Theminda,Priyankara,166989,,,2026-06-08T09:20:56.517Z,2026-06-08T09:20:56.517Z
101,2026-06-08,2026-06-08,PV-6889,Hub Racer (E30205J),,1.0,General Items,Theminda,Priyankara,166989,,,2026-06-08T09:21:29.962Z,2026-06-08T09:21:29.962Z
102,2026-06-08,2026-06-08,PV-6889,Hub Racer (LM48548),,1.0,General Items,Theminda,Priyankara,166989,,,2026-06-08T09:22:02.813Z,2026-06-08T09:22:02.813Z
103,2026-06-08,2026-06-08,PV-6889,Hub Grease Seal (67/8/51),,1.0,Bearings & Seals,Theminda,Priyankara,166989,,,2026-06-08T09:22:26.384Z,2026-06-08T09:22:26.384Z
104,2026-06-08,2026-06-08,Work Shop Stores,Water Pump,,1.0,General Items,,Bandula,140611,,,2026-06-08T09:24:01.612Z,2026-06-08T09:24:01.612Z
105,2026-06-07,2026-06-07,Batticoloa Site,Battery Water,,5.0,Battery,Upul,Priyankara,140610,,,2026-06-08T09:25:03.319Z,2026-06-08T09:25:03.319Z
