id,transferDate,transferDateISO,mtnNum,itemName,itemDesc,qty,category,fromLocation,toLocation,transferredBy,receivedBy,mrnNum,notes,createdAt,updatedAt
84,2025-12-13,2025-12-13,64983,15w 40 CI-04,,50.0,General Items,Work Shop Stores,CEP/3,Bandula,Nuwan,,,2026-06-25T14:38:38.683Z,2026-06-25T14:38:38.683Z
85,2025-12-14,2025-12-14,64984,Circuit Board (For Repair),,4.0,General Items,Work Shop Stores,Meerigama,Bandula,Pushpakumara,,,2026-06-25T14:40:38.886Z,2026-06-25T14:40:38.886Z
86,2025-12-14,2025-12-14,64985,Brake Liner,,2.0,General Items,Work Shop Stores,CEP/3,Bandula,Thushara,,,2026-06-25T14:42:46.696Z,2026-06-25T14:42:46.696Z
87,2025-12-14,2025-12-14,64985,Hub Bolt,,2.0,General Items,Work Shop Stores,CEP/3,Bandula,Thushara,,,2026-06-25T14:44:01.570Z,2026-06-25T14:44:01.570Z
88,2025-12-16,2025-12-16,64986,HD-68 Oil,,80.0,Oil & Lubricants,Work Shop Stores,Ruwanwella Water Project,Bandula,SNP,,,2026-06-25T14:46:22.891Z,2026-06-25T14:46:22.891Z
89,2025-12-16,2025-12-16,64986,Hydrolic Filter (Return),,1.0,Filters,Work Shop Stores,Ruwanwella Water Project,Bandula,SNP,,,2026-06-25T14:48:13.525Z,2026-06-25T14:48:13.525Z
90,2025-12-17,2025-12-17,64987,C-509 Oil Filter(Return),,1.0,Filters,Work Shop Stores,Kumara Filters,Bandula,.,,,2026-06-25T14:50:32.185Z,2026-06-25T14:50:32.185Z
91,2025-12-17,2025-12-17,64987,JS-3029 Air Filter(Return),,1.0,Filters,Work Shop Stores,Kumara Filters,Bandula,Nuwan,,,2026-06-25T14:52:04.101Z,2026-06-25T14:53:13.850Z
92,2025-12-20,2025-12-20,64988,Wiper Motor,,1.0,General Items,Work Shop Stores,Marawila water Project,Bandula,Mahawaththa,,,2026-06-25T14:59:36.994Z,2026-06-25T14:59:36.994Z
93,2025-12-20,2025-12-20,64989,Fuel Filter (F-1503),,4.0,Filters,Work Shop Stores,Semini Motors,Bandula,Sisil,,,2026-06-25T15:02:59.630Z,2026-06-25T15:02:59.630Z
94,2025-12-20,2025-12-20,64990,Starter Motor (After Repair),,1.0,Electrical,LI-3401,Muthur Plant,Pathinayaka,.,,,2026-06-25T15:05:44.289Z,2026-06-25T15:05:44.289Z
95,2025-12-31,2025-12-31,64991,Air Filter (11110175),,1.0,Filters,Work Shop Stores,CEP-03,Bandula,Mahawaththa,,,2026-06-25T15:07:28.406Z,2026-06-25T15:07:28.406Z
96,2026-01-09,2026-01-09,64995,Diesel,,8.0,General Items,FL-03,.,Bandula,Theshan,,Removed Diesel,2026-06-25T15:10:31.071Z,2026-06-25T15:12:45.517Z
97,2026-01-09,2026-01-09,64995,Diesel,,10.0,General Items,325-3448,..,Bandula,Theshan,,Removed Diesel,2026-06-25T15:11:48.972Z,2026-06-25T15:15:57.767Z
98,2026-01-10,2026-01-10,64996,MP-90 Gear Oil,,50.0,Oil & Lubricants,Work Shop Stores,CEP-03,Bandula,Nalin,02306,,2026-06-25T15:14:31.332Z,2026-06-25T15:15:43.235Z
